company,ultimate_owner,fiscal_year,revenue_usd_millions,scope,is_estimate,basis,confidence
Friendly's (DFA),"Dairy Farmers of America — retail ice cream only, restaurant side excluded",2026,117,ice_cream_segment,true,Illustrative placeholder — same caveat; not sourced.,placeholder
Blue Bell Creameries,Independent / family-owned,2025,900,total_company,true,"Illustrative placeholder — Blue Bell is privately held and discloses no financials. Loosely informed by its real reported headcount (~1,235 employees, PitchBook) against typical food-manufacturing revenue-per-employee ratios; this is an order-of-magnitude guess, not a researched estimate.",placeholder
Blue Bell Creameries,Independent / family-owned,2026,915,total_company,true,Illustrative placeholder — same caveat; not sourced.,placeholder
Tillamook,Farmer-owned cooperative,2025,190,ice_cream_segment,true,"Illustrative placeholder — Tillamook County Creamery Association does not disclose category-level financials; ice cream is one of several product lines alongside cheese, yogurt, and butter. Not sourced.",placeholder
Tillamook,Farmer-owned cooperative,2026,195,ice_cream_segment,true,Illustrative placeholder — same caveat; not sourced.,placeholder
Graeter's,Independent / family-owned,2025,145,total_company,true,Illustrative placeholder — Graeter's is privately held and discloses no financials. Not sourced.,placeholder
Graeter's,Independent / family-owned,2026,150,total_company,true,Illustrative placeholder — same caveat; not sourced.,placeholder
Jeni's Splendid Ice Creams,Independent / founder-led,2025,90,total_company,true,Illustrative placeholder — Jeni's is privately held and discloses no financials. Not sourced.,placeholder
Jeni's Splendid Ice Creams,Independent / founder-led,2026,95,total_company,true,Illustrative placeholder — same caveat; not sourced.,placeholder
Van Leeuwen,Independent,2025,55,total_company,true,Illustrative placeholder — Van Leeuwen is privately held and discloses no financials. Not sourced.,placeholder
Van Leeuwen,Independent,2026,58,total_company,true,Illustrative placeholder — same caveat; not sourced.,placeholder
Perry's Ice Cream,Independent / family-owned,2025,120,total_company,true,Illustrative placeholder — Perry's is privately held and discloses no financials. Not sourced.,placeholder
Perry's Ice Cream,Independent / family-owned,2026,123,total_company,true,Illustrative placeholder — same caveat; not sourced.,placeholder
